10000   	0.000298	0.039932	0.001035
20000   	0.000359	0.154562	0.002329
30000   	0.000418	0.350504	0.003317
40000   	0.000531	0.647522	0.004635
50000   	0.000629	0.972803	0.005754
60000   	0.000695	1.436341	0.006975
70000   	0.000760	1.921535	0.008232
80000   	0.000809	2.585516	0.009716
90000   	0.000991	3.243432	0.011156
100000   	0.000888	4.051091	0.012070
110000   	0.000997	4.822293	0.013305
120000   	0.001037	5.696625	0.014812
130000   	0.000952	6.777308	0.015865
140000   	0.000963	7.799997	0.017421
150000   	0.000974	9.022218	0.022761
